t_ms,hora,dur_ms,datos_hex,raw_completo
1785342983272,18:36:23.272,296,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342983880,18:36:23.880,326,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342984519,18:36:24.519,395,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342985229,18:36:25.229,350,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342985884,18:36:25.884,405,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342986593,18:36:26.593,312,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BA 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BA 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 50
1785342987212,18:36:27.212,352,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 BB 58 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 51
1785342987880,18:36:27.880,311,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 03 D0 00 00 00 80 00 BB 58 9B 60 56 3C 00 86 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 03 D0 00 00 00 80 00 BB 58 9B 60 56 3C 00 86 79 67 00 00 32 19 40 00 00 00 00 37 29 00 00 56 FB 00 F7 65 56
1785342988506,18:36:28.506,363,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 1F 81 46 01 00 00 00 00 00 00 31 24 36 24 9D 4C 4C 00 80 00 BB 58 9B 60 56 6A 04 CF 73 66 66 0D 32 19 40 00 00 00 00 37 2A 00 00 56 07 17 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 1F 81 46 01 00 00 00 00 00 00 31 24 36 24 9D 4C 4C 00 80 00 BB 58 9B 60 56 6A 04 CF 73 66 66 0D 32 19 40 00 00 00 00 37 2A 00 00 56 07 17 F7 65 13
1785342989188,18:36:29.188,430,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 1F 81 46 01 00 00 00 00 00 00 2F 1D 97 1D 72 4C 4C 00 80 00 BB 58 9D 5E 56 80 07 B5 7D 66 65 0D 32 19 40 00 00 00 00 37 29 00 00 56 0C 16 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 1F 81 46 01 00 00 00 00 00 00 2F 1D 97 1D 72 4C 4C 00 80 00 BB 58 9D 5E 56 80 07 B5 7D 66 65 0D 32 19 40 00 00 00 00 37 29 00 00 56 0C 16 F7 65 44
