t_ms,hora,dur_ms,datos_hex,raw_completo
1785255714579,18:21:54.579,317,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 6F 81 00 01 00 00 00 01 38 00 39 1D 01 1C F2 44 44 00 7C 50 36 A8 7D 71 56 72 07 34 76 68 64 0D 32 19 40 00 41 62 C0 4A 3B 00 00 6D 05 12 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 6F 81 00 01 00 00 00 01 38 00 39 1D 01 1C F2 44 44 00 7C 50 36 A8 7D 71 56 72 07 34 76 68 64 0D 32 19 40 00 41 62 C0 4A 3B 00 00 6D 05 12 F4 64 6F
1785255715199,18:21:55.199,312,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A EA 1A E5 44 44 00 80 00 36 A8 7D 71 56 61 05 A6 79 68 64 0D 32 19 40 00 41 62 C0 4A 3B 00 00 6E 06 11 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A EA 1A E5 44 44 00 80 00 36 A8 7D 71 56 61 05 A6 79 68 64 0D 32 19 40 00 41 62 C0 4A 3B 00 00 6E 06 11 F4 64 6D
1785255715815,18:21:55.815,392,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 20 00 39 18 E4 18 ED 44 44 00 80 00 36 A8 7D 71 56 6D 04 FE 76 67 64 0D 32 19 40 00 41 62 A4 4A 3B 00 00 6E 0A 10 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 20 00 39 18 E4 18 ED 44 44 00 80 00 36 A8 7D 71 56 6D 04 FE 76 67 64 0D 32 19 40 00 41 62 A4 4A 3B 00 00 6E 0A 10 F4 64 99
1785255716513,18:21:56.513,330,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1B 85 1B 7F 44 44 05 85 10 36 A8 7D 72 56 6E 06 38 78 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 09 11 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1B 85 1B 7F 44 44 05 85 10 36 A8 7D 72 56 6E 06 38 78 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 09 11 F4 64 17
1785255717149,18:21:57.149,354,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1D 10 1D 04 44 44 06 83 88 36 A8 7D 72 56 73 06 F1 80 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 06 12 F5 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1D 10 1D 04 44 44 06 83 88 36 A8 7D 72 56 73 06 F1 80 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 06 12 F5 64 68
1785255717809,18:21:57.809,349,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 39 1B F7 1C 07 44 44 06 7F 2C 36 A8 7D 72 56 71 07 1B 7C 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 07 11 F5 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 39 1B F7 1C 07 44 44 06 7F 2C 36 A8 7D 72 56 71 07 1B 7C 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 07 11 F5 64 14
1785255718463,18:21:58.463,306,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1C C3 1C C9 44 44 06 7F 70 36 A8 7D 72 56 74 07 23 80 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 06 11 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 38 00 38 1C C3 1C C9 44 44 06 7F 70 36 A8 7D 72 56 74 07 23 80 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 06 11 F4 64 F4
1785255719078,18:21:59.078,288,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 38 1C 13 1C 16 44 44 05 7E 2C 36 A8 7D 72 56 7F 07 0A 7F 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 07 11 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 38 1C 13 1C 16 44 44 05 7E 2C 36 A8 7D 72 56 7F 07 0A 7F 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 07 11 F4 64 24
1785255719673,18:21:59.673,337,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 39 1D B6 1D C2 44 44 07 82 90 36 A8 7D 72 56 5D 07 40 7D 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 05 12 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 39 1D B6 1D C2 44 44 07 82 90 36 A8 7D 72 56 5D 07 40 7D 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6E 05 12 F4 64 F2
1785255720322,18:22:00.322,349,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 39 1D 88 1D 78 44 44 08 82 1C 36 A8 7D 72 56 72 07 32 7F 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 05 12 F4 64,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 EF 81 00 09 00 00 00 01 20 00 39 1D 88 1D 78 44 44 08 82 1C 36 A8 7D 72 56 72 07 32 7F 68 64 0D 32 19 40 00 41 62 00 4A 3B 00 00 6D 05 12 F4 64 0F
