t_ms,hora,dur_ms,datos_hex,raw_completo
1785343899744,18:51:39.744,313,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343900366,18:51:40.366,320,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343900993,18:51:40.993,494,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343901799,18:51:41.799,289,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343902394,18:51:42.394,334,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343903039,18:51:43.039,395,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343903740,18:51:43.740,318,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343904372,18:51:44.372,291,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343904973,18:51:44.973,398,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 07 11 00 01 00 00 00 00 00 00 31 06 0D 06 37 00 00 00 80 00 B5 5A 9B 60 56 4A 01 0D 79 67 64 F3 32 19 40 00 00 00 00 37 2A 00 00 58 3C 16 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 07 11 00 01 00 00 00 00 00 00 31 06 0D 06 37 00 00 00 80 00 B5 5A 9B 60 56 4A 01 0D 79 67 64 F3 32 19 40 00 00 00 00 37 2A 00 00 58 3C 16 F7 65 1A
1785343905678,18:51:45.678,300,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 2E 22 FB 23 08 4C 4C 00 80 00 B5 5A 9C 5E 56 73 07 18 71 65 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 06 17 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 2E 22 FB 23 08 4C 4C 00 80 00 B5 5A 9C 5E 56 73 07 18 71 65 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 06 17 F7 65 AA
1785343906288,18:51:46.288,327,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 2E 1C 8D 1C 9E 4C 4C 00 80 00 B4 5A 9D 5E 56 6A 07 C0 7D 65 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0C 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 2E 1C 8D 1C 9E 4C 4C 00 80 00 B4 5A 9D 5E 56 6A 07 C0 7D 65 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0C 15 F7 65 74
1785343906920,18:51:46.920,342,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 32 1C 6A 1C 7B 4B 4B 00 80 00 B4 5A 9E 5E 56 7B 07 C7 73 66 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0C 15 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 32 1C 6A 1C 7B 4B 4B 00 80 00 B4 5A 9E 5E 56 7B 07 C7 73 66 65 0D 32 19 40 00 00 00 00 37 2A 00 00 58 0C 15 F7 65 40
