t_ms,hora,dur_ms,datos_hex,raw_completo
1785255471707,18:17:51.707,382,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A A2 1A B5 44 44 00 80 00 42 9D 78 75 56 62 04 B3 78 66 64 0D 32 19 40 00 19 1B C0 57 47 00 00 71 05 11 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A A2 1A B5 44 44 00 80 00 42 9D 78 75 56 62 04 B3 78 66 64 0D 32 19 40 00 19 1B C0 57 47 00 00 71 05 11 F5 65 74
1785255472396,18:17:52.396,315,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A B4 1A A5 44 44 00 80 00 42 9D 78 75 56 60 04 B4 7B 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A B4 1A A5 44 44 00 80 00 42 9D 78 75 56 60 04 B4 7B 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65 77
1785255473021,18:17:53.021,356,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A BE 1A 66 44 44 00 80 00 42 9D 78 75 56 4E 04 B3 7C 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A BE 1A 66 44 44 00 80 00 42 9D 78 75 56 4E 04 B3 7C 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65 58
1785255473685,18:17:53.685,352,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A C7 1A D7 44 44 00 80 00 42 9D 78 75 56 61 04 C0 7C 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A C7 1A D7 44 44 00 80 00 42 9D 78 75 56 61 04 C0 7C 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65 04
1785255474350,18:17:54.350,343,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A 6A 1A 32 44 44 00 80 00 42 9D 78 75 56 47 04 B2 77 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A 6A 1A 32 44 44 00 80 00 42 9D 78 75 56 47 04 B2 77 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65 D4
1785255475005,18:17:55.005,415,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A C4 1A B5 44 44 00 80 00 42 9E 78 75 56 6B 04 BB 73 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A C4 1A B5 44 44 00 80 00 42 9E 78 75 56 6B 04 BB 73 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65 DB
1785255475733,18:17:55.733,395,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A 77 1A 6F 44 44 00 80 00 42 9E 78 75 56 71 04 B4 7D 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 38 00 39 1A 77 1A 6F 44 44 00 80 00 42 9E 78 75 56 71 04 B4 7D 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65 50
1785255476439,18:17:56.439,293,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A 92 1A 85 44 44 00 80 00 42 9E 78 75 56 6E 04 B3 7A 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A 92 1A 85 44 44 00 80 00 42 9E 78 75 56 6E 04 B3 7A 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65 6B
1785255477035,18:17:57.035,327,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A 7A 1A 81 44 44 00 80 00 42 9E 78 75 56 71 04 B7 78 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A 7A 1A 81 44 44 00 80 00 42 9E 78 75 56 71 04 B7 78 67 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 10 F5 65 54
1785255477666,18:17:57.666,336,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A AB 1A 8B 44 44 00 80 00 42 9E 78 75 56 55 04 B4 74 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 01 28 00 39 1A AB 1A 8B 44 44 00 80 00 42 9E 78 75 56 55 04 B4 74 66 64 0D 32 19 40 00 19 1B C0 57 46 00 00 71 05 11 F5 65 6C
