t_ms,hora,datos_hex
1785249040568,16:30:41.626,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 89 1A 7E 44 44 00 80 00 31 AE 9C 5E 58 6F 04 F3 77 66 64 0D 32 19 40 00 3A 4A C0 3E 30 00 00 64 06 0C F4 64
1785249041630,16:30:42.721,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A BE 1A A6 44 44 00 80 00 31 AE 9C 5E 58 4A 04 F0 79 66 64 0D 32 19 40 00 3A 4A C0 3E 30 00 00 64 06 0C F4 64
1785249042741,16:30:43.813,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A A2 1A B2 44 44 00 80 00 31 AE 9C 5E 58 53 04 D0 73 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249043825,16:30:44.191,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A AE 1A A7 44 44 00 80 00 31 AE 9C 5E 58 5D 04 E4 7E 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249044327,16:30:44.676,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A B4 1A 90 44 44 00 80 00 31 AE 9C 5E 58 50 04 DB 77 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249044828,16:30:45.186,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A 8F 1A 8A 44 44 00 80 00 31 AE 9C 5E 58 6E 04 E4 74 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249045366,16:30:45.710,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A 98 1A 93 44 44 00 80 00 31 AE 9C 5E 58 74 04 E4 7D 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249045868,16:30:46.206,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A 92 1A 86 44 44 00 80 00 31 AE 9C 5E 58 63 04 E8 7A 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249046370,16:30:46.771,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A 77 1A 75 44 44 00 80 00 31 AE 9C 5E 58 6A 04 D6 73 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F4 64
1785249046871,16:30:47.241,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 39 1A 98 1A 8D 44 44 00 80 00 31 AE 9C 5E 58 6E 04 E9 7E 66 64 0D 32 19 40 00 3A 4A C0 3F 30 00 00 64 06 0C F5 64
