t_ms,hora,datos_hex
1785249719864,16:42:00.916,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A C1 1A BC 44 44 00 80 00 30 AE 99 60 56 56 04 DC 76 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 05 10 F4 64
1785249720923,16:42:01.989,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 80 1A 71 44 44 00 80 00 30 AE 99 60 56 57 04 D6 7F 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 06 10 F4 64
1785249721992,16:42:03.063,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 74 1A 7D 44 44 00 80 00 30 AE 99 60 56 6B 04 F2 77 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 06 10 F4 64
1785249723079,16:42:03.424,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 95 1A 9E 44 44 00 80 00 30 AE 99 60 56 64 04 DD 7D 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 05 10 F4 64
1785249723483,16:42:03.845,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 6D 1A A3 44 44 00 80 00 30 AE 99 60 56 55 04 F3 74 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 05 10 F4 64
1785249723886,16:42:04.227,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A A5 1A 9E 44 44 00 80 00 30 AE 99 60 56 59 04 E6 79 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249724286,16:42:04.641,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 9B 1A 94 44 44 00 80 00 30 AE 99 60 56 73 04 E8 7F 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249724687,16:42:05.040,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 83 1A A3 44 44 00 80 00 30 AE 99 60 56 62 04 E8 74 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 05 10 F4 64
1785249725088,16:42:05.438,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A B7 1A 80 44 44 00 80 00 30 AE 99 60 56 4F 04 E2 78 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249725489,16:42:05.843,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 86 1A 87 44 44 00 80 00 30 AE 99 61 56 6D 04 E7 7F 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249725890,16:42:06.248,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 74 1A 8D 44 44 00 80 00 30 AE 99 61 56 50 04 F4 76 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 05 10 F4 64
1785249726298,16:42:06.645,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 40 1A 2D 44 44 00 80 00 30 AE 99 61 56 64 04 D8 79 66 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6A 06 10 F4 64
1785249726699,16:42:07.041,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A BB 1A A0 44 44 00 80 00 30 AE 99 61 56 6D 04 E8 7E 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249727103,16:42:07.471,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 86 1A 89 44 44 00 80 00 30 AE 99 61 56 58 04 D7 74 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249727505,16:42:07.826,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 64 1A 7F 44 44 00 80 00 30 AE 99 61 56 47 04 E7 78 66 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 06 10 F4 64
1785249727906,16:42:08.215,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A AB 1A 8A 44 44 00 80 00 30 AE 99 61 56 4B 04 E7 7E 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249728307,16:42:08.623,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 95 1A 9E 44 44 00 80 00 30 AE 99 61 56 66 04 D7 75 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249728707,16:42:09.008,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 6D 1A 75 44 44 00 80 00 30 AE 99 61 56 73 04 ED 77 66 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 06 10 F4 64
1785249729108,16:42:09.414,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 95 1A 80 44 44 00 80 00 30 AE 99 61 56 55 04 F1 7D 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249729509,16:42:09.824,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 67 1A 83 44 44 00 80 00 30 AE 99 61 56 58 04 E2 79 67 64 0D 32 19 40 00 4C 49 C0 46 37 00 00 6C 05 10 F4 64
1785249729910,16:42:10.210,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 77 1A 88 44 44 00 80 00 30 AE 99 61 56 70 04 EC 75 66 64 0D 32 19 40 00 4C 49 C0 46 38 00 00 6C 05 10 F4 64
1785249730311,16:42:10.623,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A CA 1A 92 44 44 00 80 00 30 AE 99 61 56 4E 04 E8 7B 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249730712,16:42:11.024,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A B4 1A BF 44 44 00 80 00 30 AE 99 61 56 6D 04 D9 7D 67 64 0D 32 19 40 00 4C 49 C0 46 38 00 00 6C 05 10 F4 64
1785249731113,16:42:11.420,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 6D 1A 8A 44 44 00 80 00 30 AE 99 61 56 6F 04 F5 74 67 64 0D 32 19 40 00 4C 49 C0 46 38 00 00 6C 06 10 F4 64
1785249731514,16:42:11.829,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 9B 1A 86 44 44 00 80 00 30 AE 98 61 56 47 04 EE 79 66 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249731920,16:42:12.241,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 70 1A 68 44 44 00 80 00 30 AE 98 61 56 75 04 DE 7F 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249732322,16:42:12.623,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 74 1A 7E 44 44 00 80 00 30 AE 98 61 56 54 04 E9 76 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249732723,16:42:13.025,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 52 1A 50 44 44 00 80 00 30 AE 98 61 56 6B 04 DC 7A 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249733125,16:42:13.422,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 9F 1A 85 44 44 00 80 00 30 AE 98 61 56 75 04 F0 7E 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249733526,16:42:13.826,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 55 1A 8C 44 44 00 80 00 30 AE 98 61 56 3C 04 EB 73 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249733928,16:42:14.241,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 80 1A 7E 44 44 00 80 00 30 AE 98 61 56 6D 04 E5 78 66 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249734328,16:42:14.631,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 89 1A 74 44 44 00 80 00 30 AE 98 61 56 5C 04 FB 7F 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249734729,16:42:15.029,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 64 1A 84 44 44 00 80 00 30 AE 98 61 56 41 04 F5 75 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249735129,16:42:15.408,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 92 1A 96 44 44 00 80 00 30 AE 98 61 56 71 04 F3 77 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249735530,16:42:15.808,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A A2 1A 6F 44 44 00 80 00 30 B0 98 61 56 63 04 F0 7E 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249735930,16:42:16.263,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 70 1A B4 44 44 00 80 00 30 B0 98 61 56 3E 04 D5 79 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249736330,16:42:16.624,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 8C 1A A5 44 44 00 80 00 30 B0 98 61 56 6F 04 F8 76 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249736732,16:42:17.053,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 7A 1A 94 44 44 00 80 00 30 B0 98 61 56 73 04 F9 7F 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 06 10 F4 64
1785249737134,16:42:17.428,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A A5 1A 8E 44 44 00 80 00 30 B0 98 61 56 76 04 F4 7A 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249737535,16:42:17.818,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 98 1A 9D 44 44 00 80 00 30 B0 98 61 56 71 04 F7 75 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249737936,16:42:18.233,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A A2 1A 7B 44 44 00 80 00 30 B0 98 61 56 4E 04 EB 7B 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
1785249738337,16:42:18.621,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 7F 81 00 01 00 00 00 00 00 00 38 1A 9B 1A 90 44 44 00 80 00 30 B0 98 61 56 71 04 E5 7B 67 64 0D 32 19 40 00 4C 49 C0 47 38 00 00 6C 05 10 F4 64
