t_ms,hora,datos_hex
1785248242228,16:17:22.576,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B FB 1B EB 47 47 00 80 00 BB 56 9D 5E 54 62 07 B8 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248242729,16:17:23.088,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1C 0C 1C 1A 47 47 00 80 00 BB 56 9D 5E 54 70 07 C0 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248243230,16:17:23.583,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B A3 1B B3 47 47 00 80 00 BB 56 9D 5E 54 6D 07 D1 77 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248243731,16:17:24.034,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 61 1B 90 46 46 00 80 00 BB 56 9D 5E 54 75 07 C6 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248244232,16:17:24.547,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 82 1B 4D 46 46 00 80 00 BB 56 9D 5E 54 61 07 B6 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248244733,16:17:25.037,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 51 1B 66 46 46 00 80 00 BB 56 9D 5E 54 78 07 B4 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248245235,16:17:25.543,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 5E 1B CA 46 46 00 80 00 BB 56 9D 5E 54 63 07 B2 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248245736,16:17:26.051,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 47 1B 34 45 45 00 80 00 BB 56 9D 5E 54 7E 07 C2 76 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248246238,16:17:26.549,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 3A 1B 2E 45 45 00 80 00 BB 56 9D 5E 54 72 07 99 76 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248246739,16:17:27.054,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 98 1A B9 45 45 00 80 00 BB 56 9D 5E 54 81 07 86 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248247241,16:17:27.542,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A CD 1A D8 45 45 00 80 00 BB 56 9D 5E 54 58 07 7E 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248247742,16:17:28.053,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 00 1A EA 44 44 00 80 00 BB 56 9D 5E 54 74 07 82 7A 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 15 F6 65
1785248248243,16:17:28.544,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A D0 1A AB 44 44 00 80 00 BB 56 9D 5E 54 7D 07 84 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248248744,16:17:29.057,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1B 06 1A AC 44 44 00 80 00 BB 58 9D 5E 54 67 07 82 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248249245,16:17:29.543,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 98 1A 57 44 44 00 80 00 BB 58 9D 5E 54 62 07 7D 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248249747,16:17:30.053,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 46 1A 53 44 44 00 80 00 BB 58 9D 5E 54 79 07 84 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248250249,16:17:30.567,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 80 1A A3 44 44 00 80 00 BB 58 9D 5E 54 83 07 84 75 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 55 09 14 F6 65
1785248250750,16:17:31.059,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 98 1A D8 44 44 00 80 00 BB 58 9D 5E 54 71 07 88 76 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248251251,16:17:31.564,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A A5 1A F4 44 44 00 80 00 BA 58 9D 5E 54 56 07 88 7D 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 14 F6 65
1785248251752,16:17:32.050,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A D7 1A C1 44 44 00 80 00 BA 58 9D 5E 54 79 07 7E 79 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 14 F6 65
1785248252254,16:17:32.546,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A BB 1A A0 44 44 00 80 00 BA 58 9D 5E 54 81 07 81 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248252755,16:17:33.062,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A AE 1A 6B 44 44 00 80 00 BA 58 9D 5E 54 65 07 76 7A 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 55 09 14 F6 65
1785248253256,16:17:33.556,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A D4 1A 80 44 44 00 80 00 BA 58 9D 5E 54 57 07 89 77 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248253757,16:17:34.061,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 83 1A 95 44 44 00 80 00 BA 58 9D 5E 54 76 07 84 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248254259,16:17:34.554,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 86 1A A7 44 44 00 80 00 BA 58 9D 5E 54 82 07 A9 78 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248254760,16:17:35.052,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A D7 1A C6 44 44 00 80 00 BA 58 9D 5E 54 74 07 98 7D 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248255261,16:17:35.555,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 49 1A 57 44 44 00 80 00 BA 58 9D 5E 54 57 07 80 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248255762,16:17:36.065,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1B 30 1B 22 44 44 00 80 00 BA 58 9D 5E 54 6E 07 6F 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248256263,16:17:36.558,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A A2 1A 91 44 44 00 80 00 BA 58 9D 5E 54 81 07 77 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248256764,16:17:37.059,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A E0 1A C4 44 44 00 80 00 BA 58 9D 5E 54 7C 07 81 76 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248257265,16:17:37.556,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A DA 1A 7A 44 44 00 80 00 BA 58 9D 5E 54 69 07 96 74 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248257768,16:17:38.065,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 7A 1A 8A 44 44 00 80 00 BA 58 9D 5E 54 78 07 72 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 09 14 F6 65
1785248258271,16:17:38.544,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 5E 1A 6E 44 44 00 80 00 BA 58 9D 5E 54 81 07 85 78 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 09 14 F6 65
1785248258772,16:17:39.055,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 49 1A 88 44 44 00 80 00 BA 58 9D 5E 54 75 07 90 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 09 14 F6 65
1785248259272,16:17:39.556,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 89 1A E2 44 44 00 80 00 BA 58 9D 5E 54 5D 07 91 7C 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 09 14 F6 65
1785248259772,16:17:40.050,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A BE 1A AF 44 44 00 80 00 BA 58 9D 5E 54 6A 07 87 77 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248260275,16:17:40.560,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A C4 1A A2 44 44 00 80 00 BA 58 9D 5E 54 81 07 89 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248260778,16:17:41.085,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A B4 1A 6C 44 44 00 80 00 BA 58 9D 5E 54 68 07 8A 75 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 14 F6 65
1785248261279,16:17:41.576,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A BE 1A 70 44 44 00 80 00 BA 58 9D 5E 54 55 07 75 7A 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 09 14 F6 65
1785248261780,16:17:42.098,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 98 1A E9 44 44 00 80 00 B9 58 9D 5E 54 5E 07 89 75 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 15 F6 65
1785248262281,16:17:42.580,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A A2 1A B6 44 44 00 80 00 B9 58 9D 5E 54 80 07 7C 77 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 14 F6 65
1785248262782,16:17:43.080,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A A8 1A D0 44 44 00 80 00 B9 58 9D 5E 54 7B 07 86 7D 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 15 F6 65
1785248263283,16:17:43.578,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 7D 1A BC 44 44 00 80 00 B9 58 9D 5E 54 5D 07 96 75 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 08 14 F6 65
1785248263785,16:17:44.080,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 98 1A 85 44 44 00 80 00 B9 58 9D 5E 54 72 07 87 72 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248264287,16:17:44.583,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A B1 1A 96 44 44 00 80 00 B9 58 9D 5E 54 7E 07 8E 7D 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 14 F6 65
1785248264788,16:17:45.078,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A AB 1A 8C 44 44 00 80 00 B9 58 9D 5E 54 81 07 91 76 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 14 F6 65
1785248265289,16:17:45.585,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A E0 1A 90 44 44 00 80 00 B9 58 9D 5E 54 60 07 90 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 15 F6 65
1785248265790,16:17:46.084,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A E3 1A 96 44 44 00 80 00 B9 58 9D 5E 54 62 07 82 7B 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248266291,16:17:46.571,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A 95 1A BE 44 44 00 80 00 B9 58 9D 5E 54 83 07 89 7A 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248266793,16:17:47.064,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 38 1A AB 1A B8 44 44 00 80 00 B9 58 9D 5E 54 81 07 88 72 65 64 0D 32 19 40 00 00 00 00 3B 2D 00 00 56 08 14 F6 65
1785248267295,16:17:47.609,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A 7A 1A BF 44 44 00 80 00 B9 58 9D 5E 54 62 07 9A 78 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248267797,16:17:48.094,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A C1 1A B0 44 44 00 80 00 B9 58 9D 5E 54 6B 07 81 77 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
1785248268298,16:17:48.600,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 3F 81 46 01 00 00 00 00 00 00 39 1A A5 1A 81 44 44 00 80 00 B9 58 9D 5E 54 83 07 8D 73 65 64 0D 32 19 40 00 00 00 00 3A 2D 00 00 56 08 14 F6 65
